name,gender,weight,snatch1,snatch2,snatch3,cj1,cj2,cj3
Brittany McKenzie,F,71,61,-63,-63,-75,-75,75
David Sawyers,M,102,123,127,-131,155,161,167
Emily Prostko,F,64,64,-66,-68,74,76,77
Hannah Swirple,F,76,67,69,71,-74,74,-77
Jeremiah DeKam,M,81,81,84,87,103,108,113
Jessica Militec,F,71,61,-63,63,79,82,-85
Samantha Luckham,F,49,39,41,43,55,57,59
